v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
1.459999999999997237e-02	1.045999999999998147e-02	1.459999999999997237e-02	1.570790282044120190e+00	1.543134782286178730e+00	1.704908610185076334e+00
1.469999999999997177e-02	1.046999999999998106e-02	1.469999999999997177e-02	1.576955424726659505e+00	1.544219202494985677e+00	1.714335300242968652e+00
1.479999999999997116e-02	1.047999999999998065e-02	1.479999999999997116e-02	1.583169152828594051e+00	1.545305879729426346e+00	1.723884942354719563e+00
1.489999999999997056e-02	1.048999999999998024e-02	1.489999999999997056e-02	1.589432042949983970e+00	1.546394821043230339e+00	1.733559957800958395e+00
1.499999999999996995e-02	1.049999999999997984e-02	1.499999999999996995e-02	1.595744680851062025e+00	1.547486033519550830e+00	1.743362831858404238e+00
1.509999999999996935e-02	1.050999999999997943e-02	1.509999999999996935e-02	1.602107661634859959e+00	1.548579524271118668e+00	1.753296115928254517e+00
1.519999999999996874e-02	1.051999999999997902e-02	1.519999999999996874e-02	1.608521589934227336e+00	1.549675300440394921e+00	1.763362429750086502e+00
1.529999999999996814e-02	1.052999999999997861e-02	1.529999999999996814e-02	1.614987080103357009e+00	1.550773369199728746e+00	1.773564463705305627e+00
1.539999999999996753e-02	1.053999999999997821e-02	1.539999999999996753e-02	1.621504756413950199e+00	1.551873737751512383e+00	1.783904981214395002e+00
1.549999999999996693e-02	1.054999999999997780e-02	1.549999999999996693e-02	1.628075253256148436e+00	1.552976413328339245e+00	1.794386821232455409e+00
1.559999999999996632e-02	1.055999999999997739e-02	1.559999999999996632e-02	1.634699215344374679e+00	1.554081403193161570e+00	1.805012900847766666e+00
1.569999999999996398e-02	1.056999999999997698e-02	1.569999999999996398e-02	1.641377297928214851e+00	1.555188714639451408e+00	1.815786217988366813e+00
1.579999999999996685e-02	1.057999999999997658e-02	1.579999999999996685e-02	1.648110167008494775e+00	1.556298354991359378e+00	1.826709854241929998e+00
1.589999999999996277e-02	1.058999999999997617e-02	1.589999999999996277e-02	1.654898499558691283e+00	1.557410331603877429e+00	1.837786977794500842e+00
1.599999999999996564e-02	1.059999999999997576e-02	1.599999999999996564e-02	1.661742983751844260e+00	1.558524651863000710e+00	1.849020846493995007e+00
1.609999999999996156e-02	1.060999999999997535e-02	1.609999999999996156e-02	1.668644319193115066e+00	1.559641323185891437e+00	1.860414811044657890e+00
